id;numero_actividade;atividade;objectivos;de;ate;responsavel;local;observacao;participantes;co_responsavel;ano_lectivo;status_actividade;periodo_lectivo;turno;classe
1;11360;bypass deposit Central;../fake-data/blob/hipster.txt;2020-01-25;2020-01-26;Avon Regional;Fields Saint Kitts and Nevis;../fake-data/blob/hipster.txt;Borders;Zloty cyan Interactions;19723;Wooden overriding;Integration;Implemented Lead Valley;74656
2;58246;Graphical User Interface Intranet;../fake-data/blob/hipster.txt;2020-01-26;2020-01-25;Communications Bolivar Fuerte Israel;Tennessee payment Throughway;../fake-data/blob/hipster.txt;USB;Incredible Cotton Hat Chad synthesizing;43272;programming Triple-buffered;Intelligent Home Loan Account;Investment Account robust;89845
3;64341;Multi-channelled monitor Awesome Frozen Salad;../fake-data/blob/hipster.txt;2020-01-25;2020-01-25;firewall Moldova;Books;../fake-data/blob/hipster.txt;Managed;reboot Islands;23930;Plastic monitoring;Rustic Rubber Pants District Licensed Soft Salad;Assurance Auto Loan Account;46441
4;77138;Tasty Unbranded Wooden Chips Cotton;../fake-data/blob/hipster.txt;2020-01-26;2020-01-25;Optional Jewelery bandwidth;sensor;../fake-data/blob/hipster.txt;AGP neural override;withdrawal;4734;Rubber Advanced;reboot;bluetooth;57637
5;96595;solutions Auto Loan Account;../fake-data/blob/hipster.txt;2020-01-26;2020-01-26;Nebraska uniform;Azerbaijanian Manat open-source;../fake-data/blob/hipster.txt;overriding;Heights Keyboard open-source;4969;Macao circuit Home Loan Account;Computer;interfaces Bike leading edge;44631
6;41426;Directives calculating neural;../fake-data/blob/hipster.txt;2020-01-26;2020-01-26;Beauty Plastic;Rubber;../fake-data/blob/hipster.txt;Outdoors;compressing recontextualize;37176;Minnesota;backing up;Wisconsin Switchable Fantastic Steel Pizza;19865
7;58041;Cotton Team-oriented Barbados Dollar;../fake-data/blob/hipster.txt;2020-01-25;2020-01-26;Regional Colorado;Branding;../fake-data/blob/hipster.txt;Garden;wireless Central;61341;Practical productize;Health;visualize invoice brand;15004
8;69580;Keyboard;../fake-data/blob/hipster.txt;2020-01-25;2020-01-26;viral;Incredible Practical SAS;../fake-data/blob/hipster.txt;Facilitator;Place;43040;Rustic Soft Fish SMS;Ports Human;orange;57170
9;63139;Web pixel mission-critical;../fake-data/blob/hipster.txt;2020-01-26;2020-01-26;Mouse;cyan Metal Refined;../fake-data/blob/hipster.txt;exuding Fresh;Switchable cyan Unbranded;42811;Swiss Franc navigating;Credit Card Account application;Identity Director Berkshire;15048
10;76318;Cayman Islands Dollar Checking Account Soap;../fake-data/blob/hipster.txt;2020-01-26;2020-01-25;customer loyalty B2C;bypassing Awesome Wooden Shoes override;../fake-data/blob/hipster.txt;overriding;Architect eyeballs neutral;82243;back-end Orchestrator cross-media;Cheese granular;deposit;61417
