id;inicio;fim;data;ano_lectivo;dia_semana;categoria;turma_id;curriculo_id
1;Incredible array;Corporate Computer;2020-01-26T06:43:56;64450;Towels Enhanced;neutral;1;1
2;Buckinghamshire backing up online;Direct wireless knowledge user;2020-01-26T06:48:25;35456;Technician redundant;Home Loan Account Bike;2;2
3;invoice Awesome;Sleek Infrastructure;2020-01-26T04:34:07;57366;Tasty Soft Towels;synthesizing scale;3;3
4;Towels Cheese deposit;Direct;2020-01-26T06:33:07;35103;systemic withdrawal;pricing structure policy;4;4
5;Rhode Island Brand;iterate Dominican Peso;2020-01-25T16:09:28;22582;Fully-configurable Checking Account;Tasty Indiana;5;5
6;Infrastructure parse Alabama;Steel Frozen Investor;2020-01-26T06:37:06;84439;SMTP primary Refined;Bedfordshire Research;6;6
7;hacking;Designer AGP;2020-01-26T10:14:35;44434;strategize connect;bypass Investment Account;7;7
8;Lead Saint Helena Pound Movies;Money Market Account copy;2020-01-26T07:02:14;75493;artificial intelligence tertiary;maximize Tools;8;8
9;synergize;Devolved portal;2020-01-26T00:56:43;51436;Pula needs-based;Fantastic Rubber Salad;9;9
10;New Hampshire Azerbaijanian Manat;Sharable multi-byte;2020-01-25T22:00:01;27309;programming Computer;neutral;10;10
